id,nummi,agerevq,couple,iris,sexe,tact
4032466,63,095,2,765400702,1,25
4032467,63,020,2,765400702,1,11
4032468,63,015,2,765400702,1,25
4032469,63,045,2,765400702,2,12
4032470,64,010,2,765401002,1,23
4032471,64,045,1,765401002,2,11
4032472,64,025,2,765401002,2,11
4032473,64,015,2,765401002,2,22
4032474,64,050,1,765401002,1,11
4032475,65,055,2,765400306,1,11
4032476,65,020,2,765400306,1,22
4032477,65,020,2,765400306,2,22
4032478,65,015,2,765400306,1,22
4032479,66,005,2,765400901,1,23
4032480,66,040,1,765400901,2,24
4032481,66,045,1,765400901,1,11
4032482,66,005,2,765400901,2,23
4032483,67,060,2,765400404,2,11
4032484,68,035,2,765400204,2,12
4032485,69,060,2,765400202,2,21
4032486,70,015,2,765400404,2,22
4032487,70,055,1,765400404,1,11
4032488,70,040,1,765400404,2,11
4032489,70,015,2,765400404,2,22
4032490,70,010,2,765400404,2,23
4032491,71,045,2,765400304,2,11
4032492,72,040,2,765400202,2,11
4032493,72,000,2,765400202,1,23
4032494,72,045,1,765400202,1,12
4032495,73,000,2,765401002,1,23
4032496,73,025,2,765401002,2,11
4032497,74,060,1,765400504,2,11
4032498,74,055,1,765400504,1,11
4032499,75,025,2,765401003,1,11
4032500,76,065,2,765400301,2,21
4032501,77,020,1,765400604,2,11
4032502,77,020,1,765400604,1,12
4032503,78,030,2,765400402,1,11
4032504,79,010,2,765401005,1,23
4032505,79,035,1,765401005,1,11
4032506,79,025,1,765401005,2,25
4032507,79,005,2,765401005,1,23
4032508,80,080,2,765401003,2,21
4032509,81,050,2,765400801,1,25
4032510,82,030,2,765400901,1,11
4032511,83,085,1,765400201,1,21
4032512,83,080,1,765400201,2,24
4032513,84,020,2,765400404,2,22
4032514,85,030,1,765401002,1,11
4032515,85,030,1,765401002,2,11
4032516,85,000,2,765401002,2,23
4032517,86,005,2,765400602,1,23
4032518,86,025,1,765400602,1,11
4032519,86,025,1,765400602,2,11
4032520,87,025,1,765401001,2,11
4032521,87,005,2,765401001,1,23
4032522,87,000,2,765401001,1,23
4032523,87,035,1,765401001,1,11
4032524,88,030,1,765400203,2,11
4032525,88,025,1,765400203,1,11
4032526,89,030,2,765400201,2,25
4032527,89,010,2,765400201,2,23
4032528,90,015,2,765401005,2,22
4032529,90,015,2,765401005,2,22
4032530,90,010,2,765401005,2,23
4032531,90,045,2,765401005,2,11
4032532,91,025,1,765400303,2,11
4032533,91,025,1,765400303,1,11
4032534,92,035,1,765400901,1,11
4032535,92,010,2,765400901,1,23
4032536,92,040,1,765400901,2,12
4032537,93,000,2,765400604,1,23
4032538,93,030,1,765400604,2,11
4032539,93,030,1,765400604,1,11
4032540,94,090,2,765400105,2,21
4032541,95,065,2,765400203,1,11
4032542,96,015,2,765400204,1,22
4032543,97,085,2,765400403,2,21
4032544,98,055,2,765400603,1,12
4032545,99,040,2,765400106,1,11
4032546,100,030,2,765400303,1,12
4032547,101,040,2,765400501,2,11
4032548,102,005,2,765400305,1,23
4032549,102,040,1,765400305,1,11
4032550,102,035,1,765400305,2,11
4032551,102,000,2,765400305,2,23
4032552,103,020,2,765400202,2,22
4032553,103,015,2,765400202,2,22
4032554,104,035,1,765400305,1,11
4032555,104,020,2,765400305,1,12
4032556,104,050,1,765400305,2,11
4032557,105,020,2,765400402,2,11
4032558,106,085,2,765400404,2,21
4032559,107,025,1,765400503,2,11
4032560,107,030,1,765400503,1,11
4032561,108,020,2,765400502,1,22
4032562,109,065,2,765401004,2,21
4032563,110,015,2,765400202,2,22
4032564,111,050,2,765400702,1,12
4032565,112,050,2,765401004,1,12
4032566,113,000,2,765400604,1,23
4032567,113,025,1,765400604,2,12
4032568,113,025,1,765400604,1,11
4032569,114,000,2,765400303,1,23
4032570,114,005,2,765400303,1,23
4032571,114,035,1,765400303,2,24
4032572,114,005,2,765400303,1,23
4032573,114,040,1,765400303,1,11
4032574,115,075,2,765400602,2,21
4032575,116,025,2,765400404,1,11
4032576,117,055,2,765401004,1,11
4032577,118,040,2,765400303,1,11
4032578,118,075,2,765400303,2,21
4032579,119,025,2,765400502,2,11
4032580,120,050,2,765400104,1,11
4032581,121,020,1,765401005,1,11
4032582,121,020,1,765401005,2,22
4032583,122,050,1,765400501,2,11
4032584,122,050,1,765400501,1,11
4032585,122,025,2,765400501,1,22
4032586,123,030,2,765400303,1,11
4032587,124,020,2,765400405,2,22
4032588,124,020,2,765400405,2,22
4032589,125,055,1,765400305,1,21
4032590,125,020,2,765400305,2,22
4032591,125,045,1,765400305,2,11
4032592,126,025,2,765400602,2,11
4032593,127,020,2,765400102,1,12
4032594,128,050,1,765400601,2,21
4032595,128,055,1,765400601,1,11
4032596,128,020,2,765400601,2,11
4032597,129,080,2,765400203,2,21
4032598,130,030,1,765400204,2,11
4032599,130,000,2,765400204,1,23
4032600,130,035,1,765400204,1,11
4032601,131,030,2,765400402,1,11
4032602,132,065,2,765400202,2,21
4032603,133,035,1,765400303,1,11
4032604,133,030,1,765400303,2,12
4032605,134,015,2,765400202,2,22
4032606,135,060,1,765400104,2,11
4032607,136,025,1,765400104,2,11
4032608,136,025,1,765400104,1,11
4032609,137,040,1,765400103,1,11
4032610,137,015,2,765400103,1,22
4032611,138,035,2,765400802,2,12
4032612,138,015,2,765400802,2,22
4032613,138,015,2,765400802,1,22
4032614,138,005,2,765400802,1,23
4032615,139,020,2,765401005,2,11
4032616,139,010,2,765401005,1,23
4032617,139,050,2,765401005,2,12
4032618,140,040,2,765400303,1,11
4032619,141,030,2,765400403,2,12
4032620,142,055,2,765400901,2,12
4032621,142,015,2,765400901,1,22
4032622,143,025,2,765400402,2,11
4032623,144,000,2,765401005,1,23
4032624,144,025,1,765401005,1,11
4032625,144,025,1,765401005,2,11
4032626,145,025,1,765400403,2,11
4032627,145,030,1,765400403,1,11
4032628,146,025,2,765400303,1,11
4032629,147,020,2,765400405,2,22
4032630,148,025,1,765401001,2,11
4032631,148,025,1,765401001,1,11
4032632,148,000,2,765401001,1,23
4032633,148,000,2,765401001,1,23
4032634,149,055,2,765400403,1,11
4032635,150,025,2,765401003,2,11
4032636,151,020,1,765400501,2,22
4032637,152,035,1,765400601,2,11
4032638,152,010,2,765400601,1,23
4032639,152,040,1,765400601,1,11
4032640,152,000,2,765400601,2,23
4032641,152,010,2,765400601,2,23
4032642,153,020,2,765400306,1,11
4032643,154,020,2,765400106,1,22
4032644,155,050,2,765400604,1,11
4032645,156,040,2,765400202,1,11
4032646,156,070,1,765400202,1,11
4032647,156,070,1,765400202,2,21
4032648,157,030,2,765400303,1,11
4032649,158,050,1,765400403,2,11
4032650,158,050,1,765400403,1,11
4032651,158,020,2,765400403,1,11
4032652,158,025,2,765400403,1,11
4032653,159,060,1,765400106,2,24
4032654,159,060,1,765400106,1,11
4032655,160,055,2,765400901,2,25
4032656,161,015,2,765400404,1,22
4032657,162,040,2,765400502,1,11
4032658,163,020,2,765400103,1,22
4032659,164,065,2,765400601,2,21
4032660,165,030,1,765400203,2,11
4032661,165,035,1,765400203,1,11
4032662,165,000,2,765400203,2,23
4032663,166,035,2,765401002,1,11
4032664,167,015,2,765401001,2,12
4032665,168,035,2,765400305,2,11
4032666,168,000,2,765400305,2,23
4032667,169,055,1,765400601,1,11
4032668,169,035,1,765400601,2,11
4032669,169,010,2,765400601,2,23
4032670,170,025,2,765400701,1,11
4032671,171,020,2,765400404,1,22
4032672,172,020,1,765400104,2,22
4032673,172,020,1,765400104,1,22
4032674,173,065,2,765400602,2,21
4032675,174,025,1,765400306,2,11
4032676,174,005,2,765400306,1,23
4032677,174,030,1,765400306,1,11
4032678,175,020,1,765400405,1,11
4032679,175,020,1,765400405,2,11
4032680,176,055,2,765400902,2,21
4032681,177,020,1,765401001,1,25
4032682,177,020,1,765401001,2,11
4032683,178,015,2,765400106,1,22
4032684,179,020,2,765400103,2,22
4032685,180,050,1,765400602,2,11
4032686,180,015,2,765400602,1,22
4032687,180,050,1,765400602,1,11
4032688,181,020,2,765400203,2,22
4032689,182,060,2,765400106,2,11
4032690,183,065,1,765400204,2,21
4032691,183,055,1,765400204,1,11
4032692,184,010,2,765401001,1,23
4032693,184,045,1,765401001,2,24
4032694,184,010,2,765401001,1,23
4032695,184,050,1,765401001,1,25
4032696,185,025,2,765400104,1,11
4032697,186,030,1,765400602,1,25
4032698,186,030,1,765400602,2,11
4032699,187,015,2,765400404,1,22
4032700,188,020,2,765401001,2,12
4032701,188,050,1,765401001,2,25
4032702,188,070,1,765401001,1,21
4032703,189,050,2,765400305,1,11
4032704,190,020,2,765400405,2,11
4032705,191,025,1,765400501,1,11
4032706,191,020,1,765400501,2,11
4032707,192,035,2,765400405,1,11
4032708,193,010,2,765400701,1,23
4032709,193,040,2,765400701,2,11
4032710,194,025,2,765400502,2,11
4032711,195,050,2,765400702,1,11
4032712,195,015,2,765400702,2,22
4032713,196,025,2,765400106,1,12
4032714,197,030,1,765400102,1,11
4032715,197,025,1,765400102,2,11
4032716,197,005,2,765400102,1,23
4032717,198,015,2,765400106,2,11
4032718,199,040,2,765400404,2,11
4032719,199,020,2,765400404,1,11
4032720,200,065,1,765400104,1,21
4032721,200,060,1,765400104,2,21
4032722,201,010,2,765400306,1,23
4032723,201,040,2,765400306,1,11
4032724,202,035,1,765401001,2,11
4032725,202,005,2,765401001,1,23
4032726,202,035,1,765401001,1,11
4032727,203,020,2,765400304,1,11
4032728,204,050,2,765400503,1,12
4032729,205,065,1,765400402,1,21
4032730,205,060,1,765400402,2,21
4032731,206,065,2,765400901,2,21
4032732,207,020,2,765400202,2,22
4032733,208,060,1,765400301,2,21
4032734,208,060,1,765400301,1,21
4032735,209,010,2,765400802,2,23
4032736,209,010,2,765400802,2,23
4032737,209,045,2,765400802,2,12
4032738,210,015,2,765400101,1,22
4032739,211,015,1,765400404,2,22
4032740,211,035,1,765400404,1,11
4032741,212,025,2,765400306,2,11
4032742,213,030,1,765400304,1,11
4032743,213,025,1,765400304,2,12
4032744,214,055,2,765400204,2,11
4032745,215,020,2,765400103,2,11
4032746,216,075,1,765400601,2,21
4032747,216,025,2,765400601,2,22
4032748,216,035,1,765400601,1,11
4032749,216,025,2,765400601,1,11
4032750,217,055,2,765400102,1,25
4032751,218,050,2,765401003,2,11
4032752,218,010,2,765401003,1,23
4032753,219,015,2,765400202,1,22
4032754,220,075,1,765400503,2,21
4032755,220,080,1,765400503,1,21
4032756,221,050,2,765400501,2,11
4032757,222,025,1,765400106,1,11
4032758,222,025,1,765400106,2,11
4032759,223,060,2,765400501,2,21
4032760,223,025,2,765400501,1,11
4032761,224,075,2,765400305,2,21
4032762,225,030,2,765400802,2,24
4032763,225,010,2,765400802,2,23
4032764,225,005,2,765400802,2,23
4032765,225,000,2,765400802,2,23
4032766,226,025,2,765400103,1,11
4032767,227,025,2,765401003,1,12
4032768,227,055,2,765401003,2,11
4032769,228,025,1,765400501,1,11
4032770,228,025,1,765400501,2,11
4032771,229,055,2,765400104,2,25
4032772,230,025,2,765400105,2,11
4032773,231,045,2,765400201,2,11
4032774,232,050,2,765400802,2,12
4032775,232,020,2,765400802,2,12
4032776,233,020,2,765400901,2,25
4032777,234,025,2,765400304,2,11
4032778,235,075,2,765400305,2,21
4032779,236,055,2,765400702,2,11
4032780,237,055,1,765401001,1,11
4032781,237,020,2,765401001,1,11
4032782,237,055,1,765401001,2,24
4032783,238,045,2,765400404,2,25
4032784,238,020,2,765400404,2,11
4032785,238,020,2,765400404,2,22
4032786,238,045,2,765400404,2,11
4032787,239,015,2,765400604,2,22
4032788,240,020,1,765401001,2,11
4032789,240,020,1,765401001,1,12
4032790,241,020,1,765400502,2,11
4032791,241,025,1,765400502,1,12
4032792,242,085,2,765400604,2,21
4032793,243,015,2,765400402,2,11
4032794,244,065,2,765400901,2,21
4032795,245,015,2,765400104,1,22
4032796,246,030,1,765400304,1,11
4032797,246,025,1,765400304,2,11
4032798,247,030,1,765400306,1,11
4032799,247,025,1,765400306,2,12
4032800,247,000,2,765400306,2,23
4032801,248,070,1,765400201,2,21
4032802,248,080,1,765400201,1,21
4032803,249,075,1,765401004,1,21
4032804,249,070,1,765401004,2,21
4032805,250,020,2,765401005,1,11
4032806,250,055,2,765401005,2,11
4032807,251,035,2,765400405,2,11
4032808,252,045,1,765400101,1,11
4032809,252,030,1,765400101,2,11
4032810,252,000,2,765400101,1,23
4032811,252,010,2,765400101,2,23
4032812,253,060,2,765400103,2,11
4032813,254,025,2,765400106,1,12
4032814,254,025,2,765400106,2,11
4032815,254,020,2,765400106,1,11
4032816,255,060,2,765400602,2,11
4032817,256,025,1,765400202,2,11
4032818,256,030,1,765400202,1,11
4032819,257,020,2,765400203,1,22
4032820,257,020,2,765400203,2,22
4032821,258,065,2,765400202,1,21
4032822,259,020,1,765400404,1,11
4032823,260,080,1,765400502,1,21
4032824,260,075,1,765400502,2,24
4032825,261,025,1,765400101,2,11
4032826,262,025,2,765400106,2,11
4032827,263,070,1,765400504,1,21
4032828,264,050,2,765400203,2,11
4032829,264,015,2,765400203,2,22
4032830,265,050,1,765400602,1,11
4032831,265,010,2,765400602,1,22
4032832,265,045,1,765400602,2,11
4032833,265,015,2,765400602,1,22
4032834,266,020,1,765400104,1,11
4032835,266,020,1,765400104,2,22
4032836,267,000,2,765400502,2,23
4032837,267,040,1,765400502,1,11
4032838,267,035,1,765400502,2,24
4032839,268,085,2,765400105,2,21
4032840,269,000,2,765400901,1,23
4032841,269,000,2,765400901,1,23
4032842,269,025,2,765400901,2,24
4032843,270,030,2,765401003,2,11
4032844,271,015,2,765400502,1,22
4032845,272,080,2,765400503,2,21
4032846,273,025,2,765400405,2,11
4032847,274,015,2,765400104,1,25
4032848,274,050,2,765400104,2,11
4032849,274,015,2,765400104,1,25
4032850,274,050,2,765400104,1,11
4032851,275,025,2,765401005,2,11
4032852,276,030,1,765400105,1,25
4032853,276,025,1,765400105,2,25
4032854,277,035,2,765400103,2,11
4032855,277,005,2,765400103,1,23
4032856,277,000,2,765400103,2,23
4032857,278,015,2,765400203,2,11
4032858,279,065,1,765400304,2,21
4032859,279,065,1,765400304,1,21
4032860,280,070,2,765400106,1,11
4032861,281,070,1,765400304,2,21
4032862,281,075,1,765400304,1,21
4032863,282,055,2,765400702,2,11
4032864,282,020,2,765400702,2,12
4032865,282,020,2,765400702,1,22
4032866,283,045,2,765400902,2,11
4032867,283,020,2,765400902,1,22
4032868,284,025,2,765401001,2,11
4032869,284,025,2,765401001,1,11
4032870,285,090,2,765400304,1,21
4032871,286,015,2,765400202,2,22
4032872,287,085,2,765400306,2,24
4032873,288,025,2,765400306,2,22
4032874,288,060,2,765400306,2,11
4032875,289,075,1,765400902,1,21
4032876,289,040,2,765400902,1,25
4032877,289,080,1,765400902,2,21
4032878,290,000,2,765400702,2,23
4032879,290,040,1,765400702,1,11
4032880,290,040,1,765400702,2,11
4032881,290,010,2,765400702,1,23
4032882,290,000,2,765400702,2,23
4032883,290,010,2,765400702,1,22
4032884,291,015,2,765401005,2,22
4032885,291,040,2,765401005,2,11
4032886,292,025,2,765400101,2,11
4032887,293,025,2,765400103,1,11
4032888,294,020,2,765401001,1,12
4032889,294,010,2,765401001,2,23
4032890,294,010,2,765401001,2,22
4032891,294,010,2,765401001,1,23
4032892,294,015,2,765401001,2,22
4032893,294,045,2,765401001,2,24
4032894,294,015,2,765401001,1,22
4032895,295,070,2,765400502,2,21
4032896,296,025,1,765401003,1,11
4032897,296,000,2,765401003,2,23
4032898,296,035,1,765401003,2,11
4032899,297,020,2,765400103,1,22
4032900,297,020,2,765400103,2,22
4032901,298,055,2,765400304,2,25
4032902,299,075,1,765400103,1,11
4032903,299,060,1,765400103,2,11
4032904,300,070,1,765400202,1,21
4032905,300,070,1,765400202,2,21
4032906,301,030,1,765400404,1,11
4032907,301,025,1,765400404,2,11
4032908,302,030,1,765400402,2,11
4032909,302,030,1,765400402,1,11
4032910,302,000,2,765400402,1,23
4032911,303,035,1,765400405,2,11
4032912,303,030,1,765400405,1,11
4032913,304,030,1,765401003,1,12
4032914,304,025,1,765401003,2,11
4032915,305,035,2,765400306,1,11
4032916,306,025,1,765400601,1,11
4032917,306,025,1,765400601,1,11
4032918,307,060,2,765400701,2,12
4032919,308,020,2,765400404,1,11
4032920,309,050,2,765400602,1,11
4032921,309,020,2,765400602,2,11
4032922,310,025,1,765400105,1,11
4032923,310,025,1,765400105,2,11
4032924,311,025,2,765400404,1,12
4032925,311,015,2,765400404,1,12
4032926,312,020,1,765400103,2,11
4032927,313,070,1,765401001,1,21
4032928,313,045,2,765401001,1,25
4032929,313,060,1,765401001,2,25
4032930,314,045,2,765400201,1,12
4032931,315,015,2,765400404,2,12
4032932,316,020,2,765400203,2,22
4032933,317,070,1,765400901,2,21
4032934,317,075,1,765400901,1,21
4032935,318,025,1,765401001,1,11
4032936,318,020,1,765401001,2,11
4032937,319,025,2,765400103,1,11
4032938,319,025,2,765400103,1,11
4032939,320,040,1,765400301,2,11
4032940,320,000,2,765400301,1,23
4032941,320,000,2,765400301,2,23
4032942,320,005,2,765400301,2,23
4032943,320,050,1,765400301,1,11
4032944,320,010,2,765400301,2,23
4032945,320,010,2,765400301,1,22
4032946,321,060,2,765401003,2,11
4032947,322,030,1,765400303,2,11
4032948,322,030,1,765400303,1,11
4032949,323,045,2,765400701,2,11
4032950,323,020,2,765400701,1,12
4032951,324,060,2,765400701,1,21
4032952,325,080,2,765400305,2,21
4032953,326,020,2,765400404,1,22
4032954,327,030,1,765400103,1,11
4032955,327,000,2,765400103,1,23
4032956,327,030,1,765400103,2,11
4032957,328,040,2,765400402,1,11
4032958,329,030,1,765400106,1,11
4032959,330,015,2,765400106,1,22
4032960,330,020,2,765400106,1,22
4032961,331,025,1,765400306,1,11
4032962,331,025,1,765400306,2,25
4032963,332,025,1,765401001,1,11
4032964,332,000,2,765401001,1,23
4032965,332,020,1,765401001,2,11
4032966,333,050,2,765400501,2,11
4032967,334,020,2,765400604,1,11
4032968,335,000,2,765401001,2,23
4032969,335,035,2,765401001,2,11
4032970,335,000,2,765401001,2,23
4032971,336,045,1,765400305,1,11
4032972,336,045,1,765400305,2,11
4032973,337,000,2,765400104,2,23
4032974,337,035,1,765400104,1,12
4032975,337,010,2,765400104,1,23
4032976,337,030,1,765400104,2,11
4032977,338,010,2,765401002,2,23
4032978,338,020,2,765401002,1,11
4032979,338,040,1,765401002,2,25
4032980,338,040,1,765401002,1,11
4032981,339,015,2,765400204,2,22
4032982,340,020,2,765400503,2,11
4032983,341,080,2,765400502,2,21
4032984,342,020,2,765400101,2,11
4032985,343,030,1,765401003,1,11
4032986,343,025,1,765401003,2,11
4032987,344,015,2,765400404,2,22
4032988,344,020,2,765400404,1,12
4032989,344,045,2,765400404,1,11
4032990,345,030,2,765401005,1,12
4032991,346,020,1,765400305,1,11
4032992,346,020,1,765400305,2,11
4032993,347,055,2,765400202,1,12
4032994,348,065,2,765400104,1,21
4032995,349,050,2,765400702,2,11
4032996,350,035,1,765400104,2,24
4032997,350,035,1,765400104,1,11
4032998,350,005,2,765400104,2,23
4032999,351,035,2,765400304,2,12
4033000,351,065,2,765400304,1,25
4033001,352,020,2,765400404,1,22
4033002,352,020,1,765400404,2,11
4033003,353,020,2,765400405,2,22
4033004,354,060,1,765400902,2,11
4033005,354,060,1,765400902,1,11
4033006,355,065,1,765400504,2,21
4033007,355,060,1,765400504,1,11
4033008,356,045,1,765400701,2,25
4033009,356,065,1,765400701,1,21
4033010,357,010,2,765400802,2,22
4033011,357,045,1,765400802,2,11
4033012,357,050,1,765400802,1,11
4033013,357,020,2,765400802,1,11
4033014,358,045,1,765400203,2,11
4033015,358,050,1,765400203,1,11
4033016,359,060,1,765400102,2,21
4033017,359,060,1,765400102,1,21
4033018,360,005,2,765401001,1,23
4033019,360,030,1,765401001,2,11
4033020,360,035,1,765401001,1,22
4033021,361,015,2,765400101,2,22
4033022,362,015,2,765400203,2,22
4033023,363,035,1,765400303,1,11
4033024,363,005,2,765400303,1,23
4033025,363,005,2,765400303,1,23
4033026,363,035,1,765400303,2,22
4033027,364,070,2,765401004,2,21
4033028,365,025,1,765400402,1,11
4033029,365,020,1,765400402,2,11
4033030,366,055,2,765400701,1,25
4033031,367,035,2,765400303,1,11
4033032,368,015,2,765400404,1,22
4033033,369,050,2,765400202,2,11
4033034,370,065,2,765400303,2,21
4033035,371,025,1,765400501,1,11
4033036,371,025,1,765400501,2,11
4033037,372,050,2,765401003,2,11
4033038,373,065,2,765401004,2,21
4033039,374,055,2,765400102,1,21
4033040,375,075,2,765400202,2,21
4033041,376,055,1,765400503,2,11
4033042,376,055,1,765400503,1,21
4033043,376,025,2,765400503,2,12
4033044,376,020,2,765400503,2,11
4033045,377,075,2,765400202,2,21
4033046,378,030,1,765400402,1,11
4033047,379,095,2,765400504,2,21
4033048,380,025,2,765400306,1,11
4033049,381,060,2,765400202,2,21
4033050,382,085,2,765400303,2,24
4033051,383,025,1,765400305,1,11
4033052,384,085,2,765400501,2,21
4033053,385,035,2,765400901,1,11
4033054,386,030,2,765401005,1,11
4033055,387,010,2,765400901,1,23
4033056,387,000,2,765400901,1,23
4033057,387,010,2,765400901,1,23
4033058,387,045,2,765400901,2,11
4033059,388,030,2,765400105,1,11
4033060,389,005,2,765400802,1,23
4033061,389,005,2,765400802,1,23
4033062,389,010,2,765400802,1,23
4033063,389,040,2,765400802,2,25
4033064,389,000,2,765400802,1,23
4033065,389,005,2,765400802,2,23
4033066,390,050,2,765400306,1,12
4033067,390,045,2,765400306,1,11
4033068,390,050,2,765400306,1,11
4033069,391,070,1,765400306,2,21
4033070,391,070,1,765400306,1,21
4033071,392,060,2,765400403,2,11
4033072,393,065,1,765400106,2,21
4033073,393,070,1,765400106,1,21
4033074,394,000,2,765400304,1,23
4033075,394,035,2,765400304,2,11
4033076,395,020,1,765400204,2,22
4033077,395,025,1,765400204,1,11
4033078,396,035,2,765400604,1,11
4033079,397,080,2,765400103,2,21
4033080,398,055,2,765400303,2,25
4033081,399,050,2,765401004,1,11
4033082,400,050,1,765401003,1,11
4033083,400,080,2,765401003,2,21
4033084,401,020,2,765400901,2,12
4033085,401,000,2,765400901,1,23
4033086,402,045,2,765400502,1,11
4033087,403,030,2,765400203,2,11
4033088,404,025,2,765400102,1,11
4033089,405,015,2,765400503,1,22
4033090,406,080,2,765401003,2,21
4033091,407,050,2,765400204,2,12
4033092,408,030,1,765400106,1,11
4033093,408,025,1,765400106,2,11
4033094,409,030,1,765400106,2,11
4033095,409,030,1,765400106,1,11
4033096,410,020,1,765400204,2,12
4033097,410,025,1,765400204,1,11
4033098,411,080,2,765400202,2,21
4033099,412,020,2,765400201,2,22
4033100,413,050,2,765401004,1,11
4033101,413,010,2,765401004,2,22
4033102,413,015,2,765401004,2,22
4033103,413,010,2,765401004,2,23
4033104,414,000,2,765401002,1,23
4033105,414,045,1,765401002,2,11
4033106,414,015,2,765401002,2,22
4033107,414,040,1,765401002,1,12
4033108,414,020,2,765401002,2,11
4033109,415,070,2,765401002,2,21
4033110,416,050,2,765401003,2,11
4033111,417,000,2,765400306,1,23
4033112,417,030,2,765400306,2,24
4033113,417,065,2,765400306,2,21
4033114,417,020,2,765400306,1,12
4033115,418,040,2,765400305,2,11
4033116,418,010,2,765400305,1,23
4033117,419,080,2,765401001,2,21
4033118,420,030,1,765400404,1,11
4033119,420,000,2,765400404,1,23
4033120,420,030,1,765400404,2,11
4033121,421,010,2,765400901,1,23
4033122,421,030,1,765400901,2,11
4033123,421,030,1,765400901,1,11
4033124,421,005,2,765400901,2,23
4033125,422,020,2,765400104,2,22
4033126,423,030,2,765400204,2,11
4033127,424,020,2,765400602,2,11
4033128,425,020,2,765400106,2,22
4033129,425,020,2,765400106,1,22
4033130,426,025,2,765401005,1,25
4033131,426,050,2,765401005,2,25
4033132,427,025,1,765400304,2,12
4033133,427,000,2,765400304,2,23
4033134,427,060,1,765400304,1,21
4033135,427,000,2,765400304,2,23
4033136,428,045,2,765400604,2,12
4033137,429,085,2,765400304,2,21
4033138,430,040,1,765400304,1,12
4033139,430,030,1,765400304,2,11
4033140,431,075,1,765400202,1,21
4033141,431,065,1,765400202,2,11
4033142,432,010,2,765400305,1,22
4033143,432,015,2,765400305,2,22
4033144,432,040,2,765400305,2,11
4033145,433,020,2,765400101,2,22
4033146,434,040,1,765400201,2,11
4033147,435,070,2,765400202,2,21
4033148,436,060,2,765401002,1,21
